Name,Address,City,State,Code,Website
Black Creek Historic Brewery,Black Creek Pioneer Village | 1000 Murray Ross Parkway,Toronto,ON,M3J 2P3,?
Brick Brewing,1 Old Brewery Lane,Formosa,ON,0,?
Cameron's Brewing,1165 Invicta Drive,Oakville,ON,0,?
Gold Crown Brewing,71 King Street North,Waterloo,ON,0,?
Labatt Ontario Breweries,150 Simcoe Street,London,ON,0,?
Lwenbru Munich,Toronto ON,Toronto,ON,?,?
Molson Breweries of Canada,175 Bloor Street East,Toronto,ON,0,?
Niagara Falls Brewing,6863 Lundy's Lane,Niagara Falls,ON,0,?
Scotch Irish Brewing,40 Bennett Street,Carleton Place,ON,0,?
Sleeman Brewing & Malting,551 Clair Road West,Guelph,ON,0,?
Steam Whistle Brewery,255 Bremner Road,Toronto,ON,M5V 3M9,?
